run_index,fixture_id,backend,total_ms,alloc_ms,encode_ms,draw_ms,readback_ms,pack_ms,dominant_phase,heap_bytes,decode_checked,decode_pass,code128,qr,ink_bits
404,minimal,dot-buffer,13.107,0.205,0.000,0.054,0.001,12.846,pack,33554432,1,1,,,5184
405,barcode-small,dot-buffer,33.361,0.172,16.361,1.970,0.002,14.856,encode,33554432,1,1,BASELINE50X30,https://sez.print/baseline,28736
406,baseline-50x30,dot-buffer,38.559,0.232,16.931,3.006,0.002,18.388,pack,33554432,0,,,,
407,text-heavy,dot-buffer,32.790,0.235,0.000,9.887,0.001,22.667,pack,33554432,0,,,,
408,dense,dot-buffer,36.038,0.222,14.874,2.823,0.001,18.117,pack,33554432,0,,,,
409,minimal,dot-buffer,13.108,0.194,0.000,0.056,0.001,12.857,pack,33554432,0,,,,
410,barcode-small,dot-buffer,33.745,0.190,16.837,1.976,0.001,14.742,encode,33554432,0,,,,
411,baseline-50x30,dot-buffer,38.761,0.220,16.754,3.108,0.002,18.677,pack,33554432,0,,,,
412,text-heavy,dot-buffer,32.739,0.206,0.000,9.920,0.001,22.612,pack,33554432,0,,,,
413,dense,dot-buffer,36.209,0.184,15.161,2.818,0.001,18.045,pack,33554432,0,,,,
414,minimal,dot-buffer,14.618,1.608,0.000,0.050,0.001,12.959,pack,33554432,0,,,,
415,barcode-small,dot-buffer,32.171,0.178,15.140,1.912,0.001,14.940,encode,33554432,0,,,,
416,baseline-50x30,dot-buffer,38.071,0.230,16.278,3.075,0.002,18.486,pack,33554432,0,,,,
417,text-heavy,dot-buffer,33.592,0.202,0.000,10.103,0.001,23.286,pack,33554432,0,,,,
418,dense,dot-buffer,38.179,0.152,17.030,2.800,0.002,18.196,pack,33554432,0,,,,
419,minimal,dot-buffer,13.326,0.158,0.000,0.052,0.001,13.115,pack,33554432,0,,,,
420,barcode-small,dot-buffer,32.221,0.164,15.085,1.931,0.001,15.040,encode,33554432,0,,,,
421,baseline-50x30,dot-buffer,39.149,0.153,17.401,3.078,0.002,18.516,pack,33554432,0,,,,
422,text-heavy,dot-buffer,32.729,0.176,0.000,9.921,0.001,22.630,pack,33554432,0,,,,
423,dense,dot-buffer,38.354,0.159,17.327,2.725,0.001,18.141,pack,33554432,0,,,,
424,minimal,dot-buffer,13.151,0.187,0.000,0.058,0.001,12.906,pack,33554432,0,,,,
425,barcode-small,dot-buffer,32.058,0.152,15.135,1.896,0.001,14.875,encode,33554432,0,,,,
426,baseline-50x30,dot-buffer,39.017,0.146,16.426,3.070,0.002,19.374,pack,33554432,0,,,,
427,text-heavy,dot-buffer,33.018,0.220,0.000,10.064,0.001,22.732,pack,33554432,0,,,,
428,dense,dot-buffer,37.923,0.172,16.829,2.716,0.001,18.204,pack,33554432,0,,,,
429,minimal,dot-buffer,13.290,0.158,0.000,0.050,0.001,13.081,pack,33554432,0,,,,
430,barcode-small,dot-buffer,32.102,0.138,14.971,1.910,0.001,15.082,pack,33554432,0,,,,
431,baseline-50x30,dot-buffer,38.837,0.173,16.927,3.069,0.002,18.666,pack,33554432,0,,,,
432,text-heavy,dot-buffer,33.599,0.173,0.000,10.726,0.002,22.699,pack,33554432,0,,,,
433,dense,dot-buffer,37.898,0.154,16.712,2.764,0.001,18.266,pack,33554432,0,,,,
434,minimal,dot-buffer,13.240,0.153,0.000,0.046,0.001,13.040,pack,33554432,0,,,,
435,barcode-small,dot-buffer,32.898,0.141,15.085,1.909,0.001,15.762,pack,33554432,0,,,,
436,baseline-50x30,dot-buffer,38.514,2.001,14.992,3.011,0.001,18.509,pack,33554432,0,,,,
437,text-heavy,dot-buffer,33.023,0.207,0.000,9.983,0.001,22.831,pack,33554432,0,,,,
438,dense,dot-buffer,38.297,0.159,16.318,2.763,0.001,19.055,pack,33554432,0,,,,
439,minimal,dot-buffer,13.038,0.169,0.000,0.050,0.001,12.818,pack,33554432,0,,,,
440,barcode-small,dot-buffer,33.576,0.141,16.638,1.946,0.001,14.850,encode,33554432,0,,,,
441,baseline-50x30,dot-buffer,82.189,0.267,32.331,12.462,0.003,37.125,pack,33554432,0,,,,
442,text-heavy,dot-buffer,32.764,0.130,0.000,10.077,0.001,22.556,pack,33554432,0,,,,
